"0@ID_REP";"1@REGION";"2@DEPARTEMENT";"3@COMMUNE";"4@CAV";"5@CONCESSIONS";"6@MENAGES";"7@QUARTIERS-VILLAGES";"8@HOMMES";"9@FEMMES";"10@POPULATION";"11@OBSERVATIONS"
8603;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";43;60;"BADJINCOBE";199;196;396;"-"
8604;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";42;70;"BALLANDE";163;177;341;"-"
8605;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";6;6;"BELEL NGUELOBA";15;13;29;"-"
8606;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";13;13;"BISNABE BIKIDIWI";52;38;91;"-"
8607;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";8;12;"BISNABE BIROM SAKODO";33;39;73;"-"
8608;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";17;24;"BISNABE BOUTEYNI";74;56;131;"-"
8609;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";29;40;"BISNABE DIAPOBE";117;125;243;"-"
8610;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";23;28;"BISNABE PENDA YAYAKE";177;157;335;"-"
8611;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";24;42;"BISNABE WENDOU SENO";146;167;313;"-"
8612;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";5;5;"BOULEOULNABE";18;11;30;"-"
8613;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";118;139;"DIAGLE";706;674;1380;"-"
8614;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";63;81;"DIAKHAYE";425;381;806;"-"
8615;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";37;91;"DIALBENABE BELY NAMARY";242;212;455;"-"
8616;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";24;44;"DIASSAR NAMBE NDIACK FALL";132;164;296;"-"
8617;"SAINT-LOUIS";"DAGANA";"MBANE";"MBANE";31;38;"DIASSARNABE BALANDE";164;162;326;"-"
