0@ID_REP;1@REGION;2@DEPARTEMENT;3@COMMUNE;4@CAV;5@CONCESSIONS;6@MENAGES;7@QUARTIERS-VILLAGES;8@HOMMES;9@FEMMES;10@POPULATION;11@OBSERVATIONS;Probabilité;Nombre de ménage à tirer;LONGITUDE;LATITUDE;X_COORD;Y_COORD
8603;SAINT-LOUIS;DAGANA;MBANE;MBANE;43;60;BADJINCOBE;199;196;396;-;0,02359418;4;417597;1788598;-15,77084219;16,17636061
8604;SAINT-LOUIS;DAGANA;MBANE;MBANE;42;70;BALLANDE;163;177;341;-;0,027526543;5;421307;1788123;-15,73612306;16,17218972
8606;SAINT-LOUIS;DAGANA;MBANE;MBANE;13;13;BISNABE BIKIDIWI;52;38;91;-;0,005112072;1;447820;1760143;-15,48750334;15,91996252
8607;SAINT-LOUIS;DAGANA;MBANE;MBANE;8;12;BISNABE BIROM SAKODO;33;39;73;-;0,004718836;1;447256;1765229;-15,49288478;15,96592862
8608;SAINT-LOUIS;DAGANA;MBANE;MBANE;17;24;BISNABE BOUTEYNI;74;56;131;-;0,009437672;2;447508;1763127;-15,49048371;15,94693168
8609;SAINT-LOUIS;DAGANA;MBANE;MBANE;29;40;BISNABE DIAPOBE;117;125;243;-;0,015729453;3;430818;1803124;-15,64760164;16,30808227
8610;SAINT-LOUIS;DAGANA;MBANE;MBANE;23;28;BISNABE PENDA YAYAKE;177;157;335;-;0,011010617;2;434834;1773291;-15,60918305;16,03851126
8611;SAINT-LOUIS;DAGANA;MBANE;MBANE;24;42;BISNABE WENDOU SENO;146;167;313;-;0,016515926;3;451231;1764538;-15,45572576;15,95976371
8613;SAINT-LOUIS;DAGANA;MBANE;MBANE;118;139;DIAGLE;706;674;1380;-;0,054659851;10;424064;1791505;-15,71044389;16,20284912
8614;SAINT-LOUIS;DAGANA;MBANE;MBANE;63;81;DIAKHAYE;425;381;806;-;0,031852143;6;412300;1789868;-15,82043704;16,18765531
8615;SAINT-LOUIS;DAGANA;MBANE;MBANE;37;91;DIALBANABE BELY NAMARY;242;212;455;-;0,035784506;7;429820;1787536;-15,65647583;16,16714393
8616;SAINT-LOUIS;DAGANA;MBANE;MBANE;24;44;DIASSAR NAMBE NDIACK FALL;132;164;296;-;0,017302399;3;424233;1804078;-15,70927056;16,31650799
8617;SAINT-LOUIS;DAGANA;MBANE;MBANE;31;38;DIASSARNABE BALANDE;164;162;326;-;0,014942981;3;438566;1791213;-15,57476359;16,2006198
8618;SAINT-LOUIS;DAGANA;MBANE;MBANE;29;55;DIAWALEDJI;119;129;249;-;0,021627998;4;450776;1796988;-15,46065378;16,25310361
8619;SAINT-LOUIS;DAGANA;MBANE;MBANE;51;68;FANEINTE TACQUE;359;311;671;-;0,026740071;5;414654;1795369;-15,79861711;16,23746458
8620;SAINT-LOUIS;DAGANA;MBANE;MBANE;13;22;FASS NDIAKHAYE I;63;62;125;-;0,008651199;2;423080;1785505;-15,71945313;16,14858086
8621;SAINT-LOUIS;DAGANA;MBANE;MBANE;41;45;FASS NDIAKHAYE II;215;214;430;-;0,017695635;3;426123;1780571;-15,69083812;16,10407343
8622;SAINT-LOUIS;DAGANA;MBANE;MBANE;12;23;GADE NDIACK FALL;43;35;78;-;0,009044436;2;435524;1792623;-15,60326156;16,21328695
8623;SAINT-LOUIS;DAGANA;MBANE;MBANE;38;46;GADE YELOUR;179;201;381;-;0,018088871;3;434285;1790205;-15,61478589;16,19139567
8624;SAINT-LOUIS;DAGANA;MBANE;MBANE;9;11;GAKETTE PEULH YAYAKE;55;50;106;-;0,0043256;1;436300;1773603;-15,59548754;16,0413702
8625;SAINT-LOUIS;DAGANA;MBANE;MBANE;22;35;KAOUNDIRAL;132;115;248;-;0,013763272;3;445357;1784341;-15,51107066;16,13865988
8626;SAINT-LOUIS;DAGANA;MBANE;MBANE;61;125;KOEL NIASSANTE;257;351;609;-;0,049154542;9;448341;1791335;-15,483316;16,20195031
8627;SAINT-LOUIS;DAGANA;MBANE;MBANE;54;63;LEWAH (TEMEYE LEWAH);247;257;505;-;0,024773889;5;418198;1804928;-15,76579181;16,32399413
8628;SAINT-LOUIS;DAGANA;MBANE;MBANE;15;16;MALLA (SAINTHIE);50;27;77;-;0,006291781;1;423418;1779629;-15,71610117;16,09547483
8629;SAINT-LOUIS;DAGANA;MBANE;MBANE;137;146;MBANE;894;850;1744;-;0,057412505;10;414767;1799087;-15,79769537;16,27107674
8630;SAINT-LOUIS;DAGANA;MBANE;MBANE;15;27;MBELOGNE AGABE;77;90;168;-;0,010617381;2;456225;1796709;-15,40965609;16,25068617
8631;SAINT-LOUIS;DAGANA;MBANE;MBANE;32;38;MEDINA BAIDY;181;188;369;-;0,014942981;3;424980;1814347;-15,70261022;16,40935717
8632;SAINT-LOUIS;DAGANA;MBANE;MBANE;28;42;NDOUMBOULENE;130;122;252;-;0,016515926;3;426373;1808507;-15,68937895;16,35661013
8633;SAINT-LOUIS;DAGANA;MBANE;MBANE;36;43;NGUELEFOUL;214;178;393;-;0,016909162;3;436372;1777689;-15,59492421;16,07830898
8634;SAINT-LOUIS;DAGANA;MBANE;MBANE;32;38;NIASSANTE 1;124;137;262;-;0,014942981;3;440607;1787295;-15,55557002;16,16525252
8635;SAINT-LOUIS;DAGANA;MBANE;MBANE;76;99;NIASSANTE 2;334;412;747;-;0,038930397;7;442632;1791537;-15,53673212;16,20364818
8638;SAINT-LOUIS;DAGANA;MBANE;MBANE;11;18;PAMPINABE II;68;65;133;-;0,007078254;1;458863;1773812;-15,38456954;16,04374166
8639;SAINT-LOUIS;DAGANA;MBANE;MBANE;20;27;SAGOBE;107;91;198;-;0,010617381;2;446124;1788203;-15,50398559;16,17358916
8640;SAINT-LOUIS;DAGANA;MBANE;MBANE;29;30;SANEINTE TACQUE;158;136;295;-;0,01179709;2;420882;1790620;-15,74018253;16,19474756
8641;SAINT-LOUIS;DAGANA;MBANE;MBANE;33;50;SARE LAMOU;203;172;375;-;0,019661817;4;435912;1777850;-15,59922942;16,0797524
8642;SAINT-LOUIS;DAGANA;MBANE;MBANE;74;89;SARONABE 1;294;299;594;-;0,034998034;6;431261;1816369;-15,6438476;16,42782347
8643;SAINT-LOUIS;DAGANA;MBANE;MBANE;16;22;SOBALNABE BELY NAMARY;90;87;177;-;0,008651199;2;432436;1788782;-15,63204222;16,17848145
8644;SAINT-LOUIS;DAGANA;MBANE;MBANE;66;72;SOVONABE I;272;269;542;-;0,028313016;5;423763;1811006;-15,71389752;16,37911821
8645;SAINT-LOUIS;DAGANA;MBANE;MBANE;151;160;TEMEYE;799;698;1498;-;0,062917814;11;423005;1812741;-15,72105286;16,39477731
